Date,Open,High,Low,Close,Adj Close,Volume
01/12/2003,45.709.000,45.728.001,45.449.001,45.480.000,45.480.000,0
 ,45.474.998,45.507.999,45.352.001,45.451.000,45.451.000,0
15/12/2003,45.450.001,45.500.000,45.332.001,45.455.002,45.455.002,0
22/12/2003,45.417.000,45.549.000,45.296.001,45.507.999,45.507.999,0
29/12/2003,45.439.999,45.645.000,45.421.001,45.560.001,45.560.001,0
05/01/2004,45.528.000,45.604.000,45.230.000,45.351.002,45.351.002,0
12/01/2004,45.328.999,45.405.998,45.231.998,45.352.001,45.352.001,0
19/01/2004,45.356.998,45.393.002,45.230.000,45.243.999,45.243.999,0
26/01/2004,45.250.000,45.332.001,45.000.000,45.000.000,45.000.000,0
02/02/2004,45.151.001,45.244.999,45.105.000,45.290.001,45.290.001,0
09/02/2004,45.166.000,45.373.001,45.080.002,45.373.001,45.373.001,0
16/02/2004,45.179.001,45.238.998,45.125.000,45.238.998,45.238.998,0
23/02/2004,45.173.000,45.286.999,45.115.002,45.195.999,45.195.999,0
01/03/2004,45.165.001,45.254.002,45.064.999,45.200.001,45.200.001,0
08/03/2004,45.200.001,45.278.999,45.051.998,45.278.999,45.278.999,0
15/03/2004,45.172.001,45.188.000,45.066.002,45.104.000,45.104.000,0
22/03/2004,45.091.999,45.110.001,44.334.999,44.520.000,44.520.000,0
29/03/2004,44.505.001,44.537.998,43.275.002,43.691.002,43.691.002,0
05/04/2004,43.691.002,43.716.999,43.366.001,43.522.999,43.522.999,0
12/04/2004,43.521.000,43.924.999,43.521.000,43.740.002,43.740.002,0
19/04/2004,43.731.998,44.115.002,43.688.000,44.109.001,44.109.001,0
26/04/2004,44.126.999,44.439.999,43.945.000,44.259.998,44.259.998,0
03/05/2004,44.285.999,44.889.999,44.262.001,44.529.999,44.529.999,0
10/05/2004,44.529.999,45.580.002,44.529.999,45.380.001,45.380.001,0
17/05/2004,45.380.001,45.898.998,45.046.001,45.182.999,45.182.999,0
24/05/2004,45.192.001,45.505.001,45.167.000,45.219.002,45.219.002,0
31/05/2004,45.290.001,45.396.000,44.950.001,44.972.000,44.972.000,0
07/06/2004,45.044.998,45.080.002,44.801.998,45.066.002,45.066.002,0
14/06/2004,44.994.999,45.595.001,44.994.999,45.507.999,45.507.999,0
21/06/2004,45.564.999,46.180.000,45.502.998,45.648.998,45.648.998,0
28/06/2004,45.681.000,46.025.002,45.501.999,45.501.999,45.501.999,0
05/07/2004,45.590.000,46.000.000,45.549.999,45.645.000,45.645.000,0
12/07/2004,45.612.999,46.130.001,45.563.000,46.088.001,46.088.001,0
19/07/2004,46.089.001,46.255.001,45.859.001,46.129.002,46.129.002,0
26/07/2004,46.139.999,46.415.001,46.091.999,46.237.999,46.237.999,0
02/08/2004,46.250.000,46.395.000,46.111.000,46.111.000,46.111.000,0
09/08/2004,46.192.001,46.410.000,46.105.000,46.229.000,46.229.000,0
16/08/2004,46.230.000,46.347.000,46.115.002,46.220.001,46.220.001,0
23/08/2004,46.208.000,46.292.999,46.125.000,46.209.999,46.209.999,0
30/08/2004,46.228.001,46.326.000,46.099.998,46.257.000,46.257.000,0
06/09/2004,46.228.001,46.301.998,46.105.000,46.172.001,46.172.001,0
13/09/2004,46.139.000,46.157.001,45.709.999,45.771.000,45.771.000,0
20/09/2004,45.784.000,45.875.999,45.693.001,45.799.999,45.799.999,0
27/09/2004,45.869.999,46.095.001,45.755.001,45.993.000,45.993.000,0
04/10/2004,45.849.998,45.856.998,45.625.000,45.674.999,45.674.999,0
11/10/2004,45.645.000,45.804.001,45.624.001,45.743.999,45.743.999,0
18/10/2004,45.749.001,45.782.001,45.570.999,45.610.001,45.610.001,0
25/10/2004,45.606.998,45.660.000,45.244.999,45.243.999,45.243.999,0
01/11/2004,45.317.001,45.480.000,44.943.001,44.959.999,44.959.999,0
08/11/2004,44.946.999,45.132.000,44.939.999,45.029.999,45.029.999,0
15/11/2004,45.032.001,45.080.002,44.837.002,44.930.000,44.930.000,0
22/11/2004,44.931.000,45.020.000,44.868.999,44.928.001,44.928.001,0
29/11/2004,44.888.000,44.919.998,43.932.999,43.991.001,43.991.001,0
06/12/2004,43.991.001,44.660.000,43.560.001,44.569.000,44.569.000,0
13/12/2004,44.570.999,44.588.001,43.654.999,43.875.999,43.875.999,0
20/12/2004,43.889.000,43.943.001,43.547.001,43.612.999,43.612.999,0
27/12/2004,43.612.000,43.779.999,43.265.999,43.307.999,43.307.999,0
03/01/2005,43.310.001,43.901.001,43.250.000,43.832.001,43.832.001,0
10/01/2005,43.827.000,43.959.000,43.479.000,43.520.000,43.520.000,0
17/01/2005,43.512.001,43.744.999,43.470.001,43.599.998,43.599.998,0
24/01/2005,43.587.002,43.762.001,43.549.999,43.580.002,43.580.002,0
31/01/2005,43.580.002,43.667.000,43.219.002,43.275.002,43.275.002,0
07/02/2005,43.384.998,43.757.999,43.287.998,43.700.001,43.700.001,0
14/02/2005,43.688.999,43.770.000,43.575.001,43.660.000,43.660.000,0
21/02/2005,43.651.001,43.750.000,43.520.000,43.599.998,43.599.998,0
28/02/2005,43.589.001,43.678.001,43.525.002,43.567.001,43.567.001,0
07/03/2005,43.610.001,43.658.001,43.396.999,43.419.998,43.419.998,0
14/03/2005,43.410.999,43.687.000,43.403.000,43.549.999,43.549.999,0
21/03/2005,43.537.998,43.821.999,43.520.000,43.619.999,43.619.999,0
28/03/2005,43.660.000,43.830.002,43.472.000,43.619.999,43.619.999,0
04/04/2005,43.493.000,43.820.000,43.481.998,43.599.998,43.599.998,0
11/04/2005,43.647.999,43.830.002,43.549.999,43.700.001,43.700.001,0
18/04/2005,43.692.001,43.790.001,43.551.998,43.660.000,43.660.000,0
